X	X0	ensg	hgnc_symbol	chromosome_name
ENSG00000142621	236	ENSG00000142621_FHAD1	ENSG00000142621	FHAD1	1
ENSG00000233485	237	ENSG00000233485_RP3-467K16.2	ENSG00000233485		1
ENSG00000236045	238	ENSG00000236045_RP3-467K16.7	ENSG00000236045		1
ENSG00000228140	239	ENSG00000228140_RP3-467K16.4	ENSG00000228140		1
ENSG00000142634	240	ENSG00000142634_EFHD2	ENSG00000142634	EFHD2	1
ENSG00000162438	241	ENSG00000162438_CTRC	ENSG00000162438	CTRC	1
ENSG00000142615	242	ENSG00000142615_CELA2A	ENSG00000142615	CELA2A	1
ENSG00000215704	243	ENSG00000215704_CELA2B	ENSG00000215704	CELA2B	1
ENSG00000132906	244	ENSG00000132906_CASP9	ENSG00000132906	CASP9	1
ENSG00000116138	245	ENSG00000116138_DNAJC16	ENSG00000116138	DNAJC16	1
ENSG00000272510	246	ENSG00000272510_RP4-680D5.8	ENSG00000272510		1
ENSG00000116771	247	ENSG00000116771_AGMAT	ENSG00000116771	AGMAT	1
ENSG00000237301	248	ENSG00000237301_RP4-680D5.2	ENSG00000237301		1
ENSG00000197312	249	ENSG00000197312_DDI2	ENSG00000197312	DDI2	1
ENSG00000271742	250	ENSG00000271742_RP4-680D5.9	ENSG00000271742		1
ENSG00000116786	251	ENSG00000116786_PLEKHM2	ENSG00000116786	PLEKHM2	1
ENSG00000237938	252	ENSG00000237938_RP11-288I21.1	ENSG00000237938		1
ENSG00000162461	253	ENSG00000162461_SLC25A34	ENSG00000162461	SLC25A34	1
ENSG00000224459	254	ENSG00000224459_RP11-169K16.4	ENSG00000224459	SLC25A34-AS1	1
ENSG00000162458	255	ENSG00000162458_FBLIM1	ENSG00000162458	FBLIM1	1
ENSG00000179743	256	ENSG00000179743_RP11-169K16.9	ENSG00000179743		1
ENSG00000065526	257	ENSG00000065526_SPEN	ENSG00000065526	SPEN	1
ENSG00000116809	258	ENSG00000116809_ZBTB17	ENSG00000116809	ZBTB17	1
ENSG00000183888	259	ENSG00000183888_C1orf64	ENSG00000183888	SRARP	1
ENSG00000173641	260	ENSG00000173641_HSPB7	ENSG00000173641	HSPB7	1
ENSG00000186510	261	ENSG00000186510_CLCNKA	ENSG00000186510	CLCNKA	1
ENSG00000184908	262	ENSG00000184908_CLCNKB	ENSG00000184908	CLCNKB	1
ENSG00000185519	263	ENSG00000185519_FAM131C	ENSG00000185519	FAM131C	1
ENSG00000142627	264	ENSG00000142627_EPHA2	ENSG00000142627	EPHA2	1
ENSG00000234166	265	ENSG00000234166_ARHGEF19-AS1	ENSG00000234166	ARHGEF19-AS1	1
ENSG00000142632	266	ENSG00000142632_ARHGEF19	ENSG00000142632	ARHGEF19	1
ENSG00000204377	267	ENSG00000204377_C1orf134	ENSG00000204377	NA	NA
ENSG00000132881	268	ENSG00000132881_RSG1	ENSG00000132881	CPLANE2	1
ENSG00000037637	269	ENSG00000037637_FBXO42	ENSG00000037637	FBXO42	1
ENSG00000055070	270	ENSG00000055070_SZRD1	ENSG00000055070	SZRD1	1
ENSG00000187144	271	ENSG00000187144_SPATA21	ENSG00000187144	SPATA21	1
ENSG00000157191	272	ENSG00000157191_NECAP2	ENSG00000157191	NECAP2	1
ENSG00000226029	273	ENSG00000226029_RP4-798A10.2	ENSG00000226029	LINC01772	1
ENSG00000261135	274	ENSG00000261135_RP4-798A10.7	ENSG00000261135		1
ENSG00000224174	275	ENSG00000224174_RP4-798A10.4	ENSG00000224174		1
ENSG00000233421	276	ENSG00000233421_U1	ENSG00000233421	LINC01783	1
ENSG00000219481	277	ENSG00000219481_NBPF1	ENSG00000219481	NBPF1	1
ENSG00000271732	278	ENSG00000271732_RP5-1182A14.5	ENSG00000271732		1
ENSG00000215908	279	ENSG00000215908_CROCCP2	ENSG00000215908	CROCCP2	1
ENSG00000058453	280	ENSG00000058453_CROCC	ENSG00000058453	CROCC	1
ENSG00000228549	281	ENSG00000228549_U1	ENSG00000228549		1
ENSG00000238142	282	ENSG00000238142_RP11-108M9.4	ENSG00000238142		1
ENSG00000272426	283	ENSG00000272426_RP11-108M9.6	ENSG00000272426		1
ENSG00000226526	284	ENSG00000226526_RP1-37C10.3	ENSG00000226526		1
ENSG00000159363	285	ENSG00000159363_ATP13A2	ENSG00000159363	ATP13A2	1
ENSG00000117118	286	ENSG00000117118_SDHB	ENSG00000117118	SDHB	1
ENSG00000117115	287	ENSG00000117115_PADI2	ENSG00000117115	PADI2	1
ENSG00000204362	288	ENSG00000204362_RP11-380J14.1	ENSG00000204362		1
ENSG00000142623	289	ENSG00000142623_PADI1	ENSG00000142623	PADI1	1
ENSG00000159339	290	ENSG00000159339_PADI4	ENSG00000159339	PADI4	1
ENSG00000227751	291	ENSG00000227751_RP1-20B21.4	ENSG00000227751	RCC2-AS1	1
ENSG00000179051	292	ENSG00000179051_RCC2	ENSG00000179051	RCC2	1
ENSG00000074964	293	ENSG00000074964_ARHGEF10L	ENSG00000074964	ARHGEF10L	1
ENSG00000117148	294	ENSG00000117148_ACTL8	ENSG00000117148	ACTL8	1
ENSG00000117154	295	ENSG00000117154_IGSF21	ENSG00000117154	IGSF21	1
ENSG00000179023	296	ENSG00000179023_KLHDC7A	ENSG00000179023	KLHDC7A	1
ENSG00000009709	297	ENSG00000009709_PAX7	ENSG00000009709	PAX7	1
ENSG00000159423	298	ENSG00000159423_ALDH4A1	ENSG00000159423	ALDH4A1	1
ENSG00000169991	299	ENSG00000169991_IFFO2	ENSG00000169991	IFFO2	1
ENSG00000127481	300	ENSG00000127481_UBR4	ENSG00000127481	UBR4	1
ENSG00000230424	301	ENSG00000230424_RP1-43E13.2	ENSG00000230424	EMC1-AS1	1
ENSG00000127463	302	ENSG00000127463_EMC1	ENSG00000127463	EMC1	1
ENSG00000053372	303	ENSG00000053372_MRTO4	ENSG00000053372	MRTO4	1
ENSG00000162482	304	ENSG00000162482_AKR7A3	ENSG00000162482	AKR7A3	1
ENSG00000053371	305	ENSG00000053371_AKR7A2	ENSG00000053371	AKR7A2	1
ENSG00000040487	306	ENSG00000040487_PQLC2	ENSG00000040487	PQLC2	1
ENSG00000077549	307	ENSG00000077549_CAPZB	ENSG00000077549	CAPZB	1
